역명,승하차총승객수,역지역,위도,경도,호선
봉천,21997.0,수도권,37.48246891,126.941682,2호선
신림,74191.0,수도권,37.48426443,126.9297409,2호선
신대방,28970.0,수도권,37.48764145,126.9135007,2호선
구로디지털단지,49673.0,수도권,37.48525337,126.9014731,2호선
대림,33921.0,수도권,37.49330273,126.8949265,7호선
신도림,51935.0,수도권,37.50890487,126.891308,2호선
문래,11963.0,수도권,37.51797209,126.8947562,2호선
영등포구청,13053.0,수도권,37.52583052,126.8966683,2호선
당산,16629.0,수도권,37.5347735,126.9026073,2호선
합정,33825.0,수도권,37.54990144,126.9144473,2호선
홍대입구,132123.0,수도권,37.55686353,126.923765,2호선
신촌,51270.0,수도권,37.55519546,126.9369627,2호선
이대,20593.0,수도권,37.5568039,126.9464228,2호선
아현,8914.0,수도권,37.55740257,126.9561329,2호선
충정로,7638.0,수도권,37.55974797,126.9644842,2호선
용답,3041.0,수도권,37.56212098,127.0508873,2호선
신답,1304.0,수도권,37.56983509,127.0470665,2호선
도림천,702.0,수도권,37.51450082,126.8826355,2호선
양천구청,5326.0,수도권,37.51237445,126.8657179,2호선
신정네거리,8640.0,수도권,37.5202159,126.852876,2호선
용두,2096.0,수도권,37.57405492,127.0382621,2호선
구파발,20455.0,수도권,37.63641776,126.9188347,3호선
연신내,42104.0,수도권,37.61919243,126.9210962,3호선
불광,20196.0,수도권,37.61004419,126.9303022,3호선
녹번,9842.0,수도권,37.60080316,126.9358144,3호선
홍제,17204.0,수도권,37.58878817,126.944158,3호선
무악재,3356.0,수도권,37.58255602,126.950231,3호선
독립문,7654.0,수도권,37.57446808,126.9579114,3호선
경복궁,20636.0,수도권,37.5757881,126.9736687,3호선
안국,22331.0,수도권,37.57649291,126.9854192,3호선
종로3가,11486.0,수도권,37.57042084,126.9921442,3호선
충무로,2.0,수도권,37.56139298,126.9941372,4호선
동대입구,12559.0,수도권,37.55905041,127.0052968,3호선
약수,11472.0,수도권,37.55449098,127.0108871,3호선
금호,7500.0,수도권,37.54825552,127.0158201,3호선
옥수,8627.0,수도권,37.54155186,127.0173802,3호선
압구정,18327.0,수도권,37.52648497,127.028486,3호선
신사,28989.0,수도권,37.51643147,127.0202927,3호선
잠원,4510.0,수도권,37.51288271,127.0114014,3호선
고속터미널,81143.0,수도권,37.50453984,127.0051346,3호선
남부터미널,31692.0,수도권,37.48518522,127.0161912,3호선
양재,21237.0,수도권,37.48456871,127.034146,3호선
매봉,6311.0,수도권,37.48692506,127.0466979,3호선
도곡,3399.0,수도권,37.49097578,127.0554977,3호선
대치,9780.0,수도권,37.49448585,127.0631898,3호선
학여울,1242.0,수도권,37.496878,127.071153,3호선
대청,7063.0,수도권,37.49370112,127.0795179,3호선
일원,6106.0,수도권,37.48398507,127.0841207,3호선
수서,16874.0,수도권,37.48528432,127.1044517,3호선
가락시장,6879.0,수도권,37.49309205,127.1182582,3호선
경찰병원,5316.0,수도권,37.49598689,127.1244824,3호선
오금,4492.0,수도권,37.50212807,127.1279306,3호선
당고개,13551.0,수도권,37.67020604,127.0790485,4호선
상계,18392.0,수도권,37.66071334,127.0734171,4호선
노원,23664.0,수도권,37.65634036,127.0634401,4호선
창동,27018.0,수도권,37.65332049,127.0476405,4호선
쌍문,27881.0,수도권,37.6485318,127.0346516,4호선
수유,38563.0,수도권,37.63786648,127.0254921,4호선
미아,14124.0,수도권,37.62664008,127.026032,4호선
미아사거리,27479.0,수도권,37.61326845,127.0300821,4호선
길음,18649.0,수도권,37.60337676,127.02505,4호선
성신여대입구,23449.0,수도권,37.59296272,127.0171204,4호선
한성대입구,14220.0,수도권,37.58840479,127.0060008,4호선
혜화,47892.0,수도권,37.5820259,127.0019246,4호선
명동,70437.0,수도권,37.56095986,126.9863956,4호선
회현,21794.0,수도권,37.55876024,126.9784282,4호선
서울역,18955.0,수도권,37.55331631,126.9697383,4호선
숙대입구,12088.0,수도권,37.54459523,126.9721181,4호선
삼각지,3839.0,수도권,37.53443213,126.9729139,4호선
신용산,14004.0,수도권,37.52925915,126.9679605,4호선
이촌,6234.0,수도권,37.52244891,126.9733255,4호선
동작,2561.0,수도권,37.50297056,126.980299,4호선
총신대입구,19344.0,수도권,37.48678878,126.9822028,4호선
남태령,1052.0,수도권,37.46424635,126.9890807,4호선
남영,8282.0,수도권,37.54055856,126.9713276,1호선
용산,65390.0,수도권,37.53006915,126.964815,1호선
노량진,14748.0,수도권,37.51357125,126.9408887,1호선
대방,12369.0,수도권,37.51334692,126.9264787,1호선
영등포,68659.0,수도권,37.51567647,126.9078579,1호선
신길,8478.0,수도권,37.51678342,126.9183536,1호선
구로,19813.0,수도권,37.50332802,126.8822911,1호선
가산디지털단지,10785.0,수도권,37.48038874,126.8826437,1호선
금천구청,10743.0,수도권,37.45617995,126.8935996,1호선
독산,11484.0,수도권,37.46596115,126.8894711,1호선
지제,2990.0,수도권,37.01876739,127.0698282,1호선
개봉,23151.0,수도권,37.49463448,126.8586934,1호선
오류동,13729.0,수도권,37.49438279,126.8448075,1호선
주안,24346.0,수도권,37.46503882,126.6799476,1호선
구일,5373.0,수도권,37.4962509,126.8696821,1호선
온수,6868.0,수도권,37.49195669,126.8238253,1호선
외대앞,10064.0,수도권,37.59626243,127.0636834,1호선
신이문,8759.0,수도권,37.60177445,127.0673799,1호선
석계,10431.0,수도권,37.61500193,127.0656702,1호선
광운대,8151.0,수도권,37.62383376,127.0616906,1호선
월계,5332.0,수도권,37.63325953,127.0588435,1호선
녹천,4389.0,수도권,37.64463345,127.0513741,1호선
방학,9780.0,수도권,37.66743116,127.0443172,1호선
도봉,5785.0,수도권,37.67919749,127.0455258,1호선
도봉산,10208.0,수도권,37.68955853,127.0460537,1호선
산본,17274.0,수도권,37.3580157,126.9330418,4호선
대야미,4040.0,수도권,37.32796512,126.9168885,4호선
한대앞,8087.0,수도권,37.30975702,126.8536706,4호선
중앙,20929.0,수도권,37.31600848,126.8384964,4호선
고잔,7064.0,수도권,37.31679727,126.8230166,4호선
정왕,10578.0,수도권,37.35180851,126.7429119,4호선
오이도,11247.0,수도권,37.36169184,126.7383855,4호선
수리산,3380.0,수도권,37.35055076,126.9256219,4호선
선바위,5461.0,수도권,37.45174078,127.0022151,4호선
경마공원,788.0,수도권,37.44395578,127.00782,4호선
대공원,4017.0,수도권,37.43604493,127.0067344,4호선
과천,4258.0,수도권,37.4328735,126.9966103,4호선
정부과천청사,7388.0,수도권,37.42649391,126.9898545,4호선
평촌,11054.0,수도권,37.3942323,126.9637945,4호선
백석,12224.0,수도권,37.64295874,126.7881179,3호선
회기,26611.0,수도권,37.5897782,127.0580393,1호선
방화,7767.0,수도권,37.57758875,126.8128012,5호선
개화산,5663.0,수도권,37.57253355,126.8068143,5호선
김포공항,12009.0,수도권,37.56194774,126.8019069,5호선
송정,9221.0,수도권,37.561154,126.8124123,5호선
마곡,4273.0,수도권,37.56021781,126.8246834,5호선
발산,13685.0,수도권,37.55866872,126.8377251,5호선
우장산,12554.0,수도권,37.54880987,126.8363206,5호선
화곡,25477.0,수도권,37.54164355,126.8404324,5호선
까치산,28608.0,수도권,37.53222704,126.8464262,2호선
신정,11197.0,수도권,37.52501318,126.8560794,5호선
목동,14260.0,수도권,37.52612248,126.8646072,5호선
오목교,20998.0,수도권,37.52453046,126.8752892,5호선
영등포시장,8644.0,수도권,37.52270218,126.9051796,5호선
여의도,10337.0,수도권,37.52116647,126.9246384,5호선
여의나루,6808.0,수도권,37.52713613,126.9329815,5호선
마포,8355.0,수도권,37.53954051,126.9458467,5호선
애오개,4991.0,수도권,37.55340233,126.9566558,5호선
서대문,8804.0,수도권,37.56574923,126.9666319,5호선
광화문,28409.0,수도권,37.5716441,126.9764096,5호선
청구,3086.0,수도권,37.56020299,127.0139212,5호선
신금호,5377.0,수도권,37.55447169,127.0204841,5호선
행당,6600.0,수도권,37.55735297,127.0294937,5호선
마장,5540.0,수도권,37.56612455,127.0429667,5호선
답십리,13548.0,수도권,37.56696761,127.0525432,5호선
장한평,13757.0,수도권,37.56159218,127.0636992,5호선
군자,10694.0,수도권,37.5571497,127.0794948,5호선
아차산,23089.0,수도권,37.55224106,127.0895615,5호선
광나루,14360.0,수도권,37.54529197,127.1035169,5호선
천호,20191.0,수도권,37.53849681,127.1239194,5호선
강동,15937.0,수도권,37.53587473,127.1323782,5호선
길동,6766.0,수도권,37.53781209,127.1400077,5호선
굽은다리,9098.0,수도권,37.54550319,127.1428737,5호선
명일,6807.0,수도권,37.5513943,127.1440392,5호선
고덕,6824.0,수도권,37.55503956,127.1541639,5호선
상일동,8138.0,수도권,37.55666348,127.1658921,5호선
둔촌동,7351.0,수도권,37.52765324,127.1362101,5호선
올림픽공원,3382.0,수도권,37.51632457,127.1309637,5호선
방이,5904.0,수도권,37.50874343,127.126087,5호선
개롱,5381.0,수도권,37.49795748,127.1350705,5호선
거여,6038.0,수도권,37.49331604,127.1437693,5호선
마천,5117.0,수도권,37.49503458,127.1528418,5호선
응암,17645.0,수도권,37.59848384,126.9155241,6호선
역촌,4121.0,수도권,37.60621934,126.9228313,6호선
독바위,3334.0,수도권,37.61840694,126.9330355,6호선
구산,6244.0,수도권,37.61124308,126.9172538,6호선
새절,12308.0,수도권,37.59086003,126.9135625,6호선
증산,10211.0,수도권,37.58373913,126.9094724,6호선
월드컵경기장,13631.0,수도권,37.56962115,126.8990982,6호선
마포구청,11653.0,수도권,37.56347996,126.9034075,6호선
망원,14097.0,수도권,37.55607905,126.9100943,6호선
상수,12487.0,수도권,37.54776257,126.9224163,6호선
광흥창,6848.0,수도권,37.54748017,126.9320127,6호선
대흥,6287.0,수도권,37.54762988,126.9424687,6호선
녹사평,6670.0,수도권,37.53470477,126.9865361,6호선
이태원,31606.0,수도권,37.53450718,126.9943203,6호선
한강진,9581.0,수도권,37.53978717,127.0017425,6호선
버티고개,2122.0,수도권,37.54782391,127.0067218,6호선
창신,2622.0,수도권,37.57941204,127.0152833,6호선
보문,6565.0,수도권,37.58553809,127.0199945,6호선
안암,10527.0,수도권,37.586293,127.0292334,6호선
고려대,7708.0,수도권,37.59043561,127.0363004,6호선
월곡,10371.0,수도권,37.60180442,127.0414471,6호선
상월곡,4636.0,수도권,37.60654081,127.0488111,6호선
돌곶이,6928.0,수도권,37.61053781,127.0564245,6호선
태릉입구,4982.0,수도권,37.61845592,127.0753917,6호선
화랑대,8821.0,수도권,37.61983796,127.0835259,6호선
봉화산,7636.0,수도권,37.61734543,127.0913612,6호선
수락산,13165.0,수도권,37.67787787,127.0553419,7호선
마들,10193.0,수도권,37.66519095,127.0576899,7호선
중계,11935.0,수도권,37.64507771,127.0641103,7호선
하계,16726.0,수도권,37.63646213,127.0679777,7호선
공릉,10993.0,수도권,37.62553917,127.07302,7호선
먹골,9616.0,수도권,37.61061578,127.0777622,7호선
중화,9930.0,수도권,37.60254189,127.0792939,7호선
면목,14150.0,수도권,37.58869687,127.0874993,7호선
사가정,15314.0,수도권,37.58092958,127.0884864,7호선
용마산,5996.0,수도권,37.57370489,127.0867572,7호선
중곡,8998.0,수도권,37.56586804,127.084258,7호선
어린이대공원,10810.0,수도권,37.54794467,127.0746417,7호선
뚝섬유원지,7780.0,수도권,37.53155118,127.0667736,7호선
청담,11680.0,수도권,37.51944838,127.0537089,7호선
학동,8692.0,수도권,37.5143566,127.0318974,7호선
논현,11032.0,수도권,37.51118739,127.0216486,7호선
반포,5510.0,수도권,37.50814341,127.0115816,7호선
내방,8238.0,수도권,37.48765492,126.9935776,7호선
이수,14307.0,수도권,37.48678878,126.9822028,7호선
남성,9947.0,수도권,37.4847863,126.9708966,7호선
숭실대입구,10453.0,수도권,37.49631367,126.9536129,7호선
상도,9491.0,수도권,37.5028526,126.9479089,7호선
장승배기,10022.0,수도권,37.50488464,126.9390633,7호선
신대방삼거리,14401.0,수도권,37.49974281,126.928211,7호선
보라매,7065.0,수도권,37.49991814,126.9205886,7호선
신풍,10656.0,수도권,37.50010856,126.9097317,7호선
남구로,15664.0,수도권,37.48698929,126.8879703,7호선
천왕,7342.0,수도권,37.48684204,126.8385816,7호선
암사,15784.0,수도권,37.55013386,127.1275373,8호선
강동구청,8227.0,수도권,37.53019318,127.1204437,8호선
몽촌토성,7597.0,수도권,37.5178029,127.112845,8호선
석촌,8074.0,수도권,37.50541053,127.1069905,8호선
송파,4793.0,수도권,37.49971136,127.1121845,8호선
문정,8109.0,수도권,37.48602386,127.1224758,8호선
장지,21101.0,수도권,37.4786317,127.126172,8호선
개화,4270.0,수도권,37.57833729,126.7968823,9호선
공항시장,3137.0,수도권,37.56367389,126.810595,9호선
신방화,6641.0,수도권,37.56748653,126.8172183,9호선
마곡나루,7854.0,수도권,37.56670899,126.8274074,9호선
양천향교,7350.0,수도권,37.56806284,126.8419608,9호선
가양,17524.0,수도권,37.56142949,126.8544022,9호선
증미,5642.0,수도권,37.55812134,126.8606334,9호선
등촌,8526.0,수도권,37.55072086,126.8655586,9호선
염창,14037.0,수도권,37.54696492,126.8748671,9호선
신목동,2858.0,수도권,37.54427035,126.8830868,9호선
선유도,4944.0,수도권,37.53815324,126.8933248,9호선
국회의사당,6659.0,수도권,37.52813568,126.9178209,9호선
샛강,2933.0,수도권,37.51736656,126.9283751,9호선
노들,3843.0,수도권,37.5126577,126.9530825,9호선
흑석,8149.0,수도권,37.50916547,126.963445,9호선
구반포,2100.0,수도권,37.50142181,126.9874468,9호선
신반포,2041.0,수도권,37.50349472,126.9960643,9호선
사평,2298.0,수도권,37.50423263,127.015268,9호선
신논현,26294.0,수도권,37.50480751,127.0254694,9호선
언주,5567.0,수도권,37.50732819,127.0339528,9호선
삼성중앙,3081.0,수도권,37.51296146,127.0530256,9호선
봉은사,17361.0,수도권,37.51423744,127.0602203,9호선
삼전,5062.0,수도권,37.5045437,127.0873557,9호선
석촌고분,4255.0,수도권,37.50246428,127.0964912,9호선
송파나루,3404.0,수도권,37.51100951,127.1126538,9호선
한성백제,2284.0,수도권,37.51651998,127.1164401,9호선
둔촌오륜,592.0,수도권,37.51939724,127.1386385,9호선
중앙보훈병원,4192.0,수도권,37.52839539,127.1484071,9호선
